name,score,url
100种家常菜,16,https://www.xiachufang.com/recipe/106101933/
孩子爱吃的蒸肉饼,9.1,https://www.xiachufang.com/recipe/106620365/
包菜粉丝（粉丝炒包菜）,7.5,https://www.xiachufang.com/recipe/106401438/
豆芽炒粉条,8.0,https://www.xiachufang.com/recipe/106470300/
鱼香肉丝,8.1,https://www.xiachufang.com/recipe/106054748/
简单又好吃的黄焖鸡,8.0,https://www.xiachufang.com/recipe/104484038/
【女儿连干两碗饭】超级简单的家庭版不用烤箱的叉烧也可以用电饭煲零难度下饭神器,8.3,https://www.xiachufang.com/recipe/106655649/
水煮肉片（新手一定要试，零失败）,8.4,https://www.xiachufang.com/recipe/106069408/
家常豆腐,7.8,https://www.xiachufang.com/recipe/105969804/
土豆片炒火腿肠,7.5,https://www.xiachufang.com/recipe/106514952/
无敌好吃巨下饭的家常菜～肉沫茄子,7.7,https://www.xiachufang.com/recipe/106575987/
比肉还好吃的烧腐竹,7.7,https://www.xiachufang.com/recipe/106098635/
明明是素汤 却鲜得像鸡汤一样的「口蘑汤」,7.8,https://www.xiachufang.com/recipe/106432832/
比布丁还要嫩！巨好吃又营养的肉末水蒸蛋,8.3,https://www.xiachufang.com/recipe/106003806/
巨下饭的家常菜㊙️素炒豆角,6.8,https://www.xiachufang.com/recipe/105980440/
炒莴笋（快手、下饭、简单家常菜）,10,https://www.xiachufang.com/recipe/106549789/
爆汁香煎豆腐,7.9,https://www.xiachufang.com/recipe/106429920/
小炒西葫芦,8.0,https://www.xiachufang.com/recipe/106163145/
孩子增高汤 | 虾仁豆腐裙带菜汤,7.6,https://www.xiachufang.com/recipe/106499780/
懒人糖醋排骨,8.1,https://www.xiachufang.com/recipe/106442148/
油焖鲜虾｜十分钟家常菜,0,https://www.xiachufang.com/recipe/106725199/
tiger妈咪家常菜之小炒香芹牛肉丝,0,https://www.xiachufang.com/recipe/106725058/
木须肉，炒杂菜！一次成功，无敌下饭，完美减脂家常菜，老少皆宜，营养好吃健康又低脂,0,https://www.xiachufang.com/recipe/106725000/
家常菜系列——咖喱牛腩饭,0,https://www.xiachufang.com/recipe/106724814/
家常菜,0,https://www.xiachufang.com/recipe/106724802/
零失误快手菜—炒鸡丁,7.0,https://www.xiachufang.com/recipe/104386039/
孩子爱吃的蒸肉饼,9.1,https://www.xiachufang.com/recipe/106620365/
鲜掉眉毛的上汤娃娃菜,7.7,https://www.xiachufang.com/recipe/103756418/
土豆的新吃法！简单美味，给肉都不换！,7.4,https://www.xiachufang.com/recipe/104289737/
【巨下饭的鱼香鸡蛋+万能鱼香汁配方】,8.2,https://www.xiachufang.com/recipe/104488629/
不得不说，这个蒜蓉粉丝煲是粉丝界的天花板,8.2,https://www.xiachufang.com/recipe/106635572/
拌一盘光一盘‼️好吃到无法停下来的节奏😋😋凉拌平菇,8.0,https://www.xiachufang.com/recipe/106159742/
比布丁还要嫩！巨好吃又营养的肉末水蒸蛋,8.3,https://www.xiachufang.com/recipe/106003806/
👏十分钟快手菜❗❗日本豆腐,14,https://www.xiachufang.com/recipe/106097412/
炒合菜～经典的拌饭菜，真的太香了,8.2,https://www.xiachufang.com/recipe/105815825/
